"num","Year","Cases","Canton","Month"
"769",2004,18,"Talamanca",4
"770",2004,12,"Talamanca",5
"771",2004,12,"Talamanca",6
"772",2004,11,"Talamanca",7
"773",2004,10,"Talamanca",8
"774",2004,4,"Talamanca",9
"775",2004,2,"Talamanca",10
"776",2004,9,"Talamanca",11
"777",2004,5,"Talamanca",12
"778",2005,11,"Talamanca",1
"779",2005,8,"Talamanca",2
"780",2005,7,"Talamanca",3
"781",2005,6,"Talamanca",4
"782",2005,35,"Talamanca",5
"783",2005,16,"Talamanca",6
"784",2005,28,"Talamanca",7
"785",2005,48,"Talamanca",8
"786",2005,29,"Talamanca",9
"787",2005,89,"Talamanca",10
"788",2005,24,"Talamanca",11
"789",2005,25,"Talamanca",12
"790",2006,19,"Talamanca",1
"791",2006,31,"Talamanca",2
"792",2006,10,"Talamanca",3
"793",2006,5,"Talamanca",4
"794",2006,8,"Talamanca",5
"795",2006,11,"Talamanca",6
"796",2006,10,"Talamanca",7
"797",2006,1,"Talamanca",8
"798",2006,12,"Talamanca",9
"799",2006,0,"Talamanca",10
"800",2006,6,"Talamanca",11
"801",2006,23,"Talamanca",12
"802",2007,20,"Talamanca",1
"803",2007,9,"Talamanca",2
"804",2007,5,"Talamanca",3
"805",2007,13,"Talamanca",4
"806",2007,23,"Talamanca",5
"807",2007,37,"Talamanca",6
"808",2007,60,"Talamanca",7
"809",2007,47,"Talamanca",8
"810",2007,56,"Talamanca",9
"811",2007,40,"Talamanca",10
"812",2007,10,"Talamanca",11
"813",2007,0,"Talamanca",12
"814",2008,3,"Talamanca",12
"815",2008,7,"Talamanca",1
"816",2008,0,"Talamanca",2
"817",2008,1,"Talamanca",3
"818",2008,0,"Talamanca",4
"819",2008,3,"Talamanca",5
"820",2008,0,"Talamanca",6
"821",2008,5,"Talamanca",7
"822",2008,0,"Talamanca",8
"823",2008,1,"Talamanca",9
"824",2008,0,"Talamanca",10
"825",2008,9,"Talamanca",11
"826",2009,0,"Talamanca",1
"827",2009,1,"Talamanca",2
"828",2009,0,"Talamanca",3
"829",2009,0,"Talamanca",4
"830",2009,1,"Talamanca",5
"831",2009,0,"Talamanca",6
"832",2009,0,"Talamanca",7
"833",2009,0,"Talamanca",8
"834",2009,0,"Talamanca",9
"835",2009,0,"Talamanca",10
"836",2009,10,"Talamanca",11
"837",2009,4,"Talamanca",12
"838",2010,0,"Talamanca",1
"839",2010,4,"Talamanca",2
"840",2010,4,"Talamanca",3
"841",2010,1,"Talamanca",4
"842",2010,1,"Talamanca",5
"843",2010,1,"Talamanca",6
"844",2010,3,"Talamanca",7
"845",2010,16,"Talamanca",8
"846",2010,49,"Talamanca",9
"847",2010,32,"Talamanca",10
"848",2010,66,"Talamanca",11
"849",2010,17,"Talamanca",12
"850",2011,46,"Talamanca",1
"851",2011,30,"Talamanca",2
"852",2011,25,"Talamanca",3
"853",2011,44,"Talamanca",4
"854",2011,38,"Talamanca",5
"855",2011,40,"Talamanca",6
"856",2011,55,"Talamanca",7
"857",2011,148,"Talamanca",8
"858",2011,170,"Talamanca",9
"859",2011,109,"Talamanca",10
"860",2011,41,"Talamanca",11
